line,page,date,site,trap,day,trap_id,species,subspecies,sex,A,B,carapace,car_max,plastron,depth,mass,leeches,recap,mark_1,mark_final,picture,blood,smear,comments
43,2,6/10/18,A,7,,7,CSER,NA,F,96,73,281,293,210,115,4860,0,R,220,220,Y,Y,Y,saw penis everted
44,2,6/10/18,A,7,,7,CPIC,marginata,M,NA,NA,143,145,132,49,330,1,N,18,18,Y,Y,Y,
45,2,6/10/18,A,7,,7,CPIC,marginata,M,NA,NA,105,105,97,35,150,0,N,26,26,Y,N,N,damage to right most rear/caudal marginal scute and 2000; left of mark 20 indistinct
46,2,6/10/18,A,7,,7,CPIC,NA,M,NA,NA,127,128,114,46,270,0,N,34,34,Y,N,N,right claw damaged/gone; plastron blotch faint
47,2,6/10/18,A,7,,7,CPIC,marginata,F,NA,NA,101,101,97,41,160,1,N,37,37,Y,N,N,plastron blotch faint
48,2,6/10/18,A,7,,7,CPIC,marginata,M,NA,NA,124,124,119,42,265,0,N,46,46,Y,N,N,
49,2,6/10/18,A,7,,7,CPIC,picta,M,NA,NA,134,136,126,47,30,0,R,120,120,Y,N,N,
50,2,6/10/18,A,7,,7,CPIC,marginata,M,NA,NA,108,108,98,38,180,0,R,30,30,Y,N,N,
51,2,6/10/18,A,7,,7,CPIC,marginata,F,NA,NA,121,121,115,47,270,0,R,100,100,Y,N,N,
52,2,6/10/18,A,8,,8,CPIC,marginata,F,NA,NA,140,140,129,52,340,0,N,73,73,Y,N,N,
53,2,6/10/18,A,8,,8,SODO,NA,F,NA,NA,88,88,70,38,140,19,N,2,2,Y,Y,Y,
54,2,6/10/18,A,2,,2,CPIC,marginata,M,NA,NA,125,125,119,42,250,4,N,76,76,Y,N,N,plastron blotch faint
55,2,6/10/18,A,3,,3,CPIC,marginata,M,NA,NA,121,123,110,39,230,1,N,78,78,Y,N,N,
56,2,6/10/18,A,4,,4,CPIC,marginata,F,NA,NA,151,151,139,53,425,0,N,140,140,Y,N,N,
57,2,6/10/18,A,4,,4,CPIC,marginata,M,NA,NA,120,121,112,41,210,1,N,170,170,Y,N,N,
58,2,6/10/18,A,4,,4,CPIC,marginata,M,NA,NA,113,113,102,39,180,0,R,17,17,Y,N,N,3 left front claws missing
59,3,6/10/18,A,4,,4,CPIC,marginata,F,NA,NA,144,146,138,50,375,0,R,72,72,Y,N,N,
60,3,6/12/18,C,10,,18,CPIC,marginata,F,NA,NA,110,110,105,40,190,0,N,201,201,Y,Y,Y,faint marks
61,3,6/12/18,C,10,,18,CPIC,marginata,F,NA,NA,163,166,156,55,620,4,N,202,202,Y,Y,Y,scar left front limb
62,3,6/12/18,C,9,,17,CPIC,marginata,M,NA,NA,136,138,125,44,300,2,N,207,207,Y,Y,Y,mark 7 is a triangle
63,3,6/12/18,C,9,,17,CPIC,marginata,M,NA,NA,126,127,117,40,240,1,N,204,204,Y,Y,Y,
64,3,6/12/18,C,9,,17,CPIC,marginata,F,NA,NA,131,131,127,44,290,0,N,400,400,Y,Y,Y,plastron blotch faint
65,3,6/12/18,C,8,,16,CPIC,marginata,M,NA,NA,132,133,123,43,260,0,N,51,51,N,Y,Y,
66,3,6/12/18,C,8,,16,CPIC,marginata,M,NA,NA,121,122,111,40,240,1,R,6,6,Y,Y,Y,recap from previous session
67,3,6/12/18,C,8,,16,CPIC,marginata,M,NA,NA,123,123,115,40,240,1,N,121,121,N,Y,Y,
68,3,6/12/18,C,8,,16,CSER,NA,F,68,44,205,213,149,82,1820,86,N,130,130,N,Y,Y,"1 large leech, all the rest tiny"
69,3,6/12/18,C,8,,16,CPIC,marginata,F,NA,NA,79,79,73,32,85,2,N,48,48,Y,Y,Y,immature
70,3,6/12/18,C,7,,15,CPIC,marginata,F,NA,NA,154,154,141,55,485,1,N,36,36,Y,N,N,dark mark with straight scutes (hybrid?)
71,3,6/12/18,C,7,,15,CPIC,marginata,M,NA,NA,115,115,105,35,190,1,N,52,52,Y,N,N,front claw damage
72,3,6/12/18,C,7,,15,CPIC,marginata,M,NA,NA,119,119,115,44,235,10,N,54,54,N,N,N,1 big leech
73,3,6/12/18,C,4,,12,CSER,NA,F,72,55,216,224,157,89,2340,8,N,70,70,Y,N,N,3 big leeches
74,3,6/12/18,C,3,,11,CPIC,marginata,M,NA,NA,139,139,125,46,300,2,N,56,56,Y,N,N,
75,3,6/12/18,C,3,,11,CPIC,marginata,F,NA,NA,130,130,122,45,310,2,N,57,57,Y,N,N,1 big leech
76,3,6/12/18,C,3,,11,CPIC,marginata,M,NA,NA,132,135,126,45,270,0,N,60,60,Y,N,N,
77,3,6/12/18,C,3,,11,CPIC,marginata,M,NA,NA,125,125,116,42,245,0,N,63,63,Y,N,N,
78,3,6/12/18,C,3,,11,CPIC,marginata,M,NA,NA,126,129,114,42,240,2,N,64,64,Y,N,N,triangle mark
79,3,6/12/18,C,2,,10,CPIC,marginata,M,NA,NA,126,126,113,42,245,0,N,65,65,Y,N,N,
80,3,6/12/18,C,2,,10,CPIC,marginata,F,NA,NA,132,132,125,46,300,1,N,67,67,Y,N,N,deformed nuchal/pectoral scutes of right plastron
81,3,6/12/18,C,1,,9,CPIC,marginata,M,NA,NA,130,132,125,44,290,1,N,75,75,Y,N,N,
82,3,6/12/18,C,1,,9,CPIC,marginata,M,NA,NA,122,122,114,41,235,2,N,81,81,Y,N,N,
83,3,13-06-2018,D,2,,20,CPIC,marginata,M,NA,NA,129,131,118,39,230,0,N,401,401,Y,Y,Y,
84,3,13-06-2018,D,2,,20,CPIC,marginata,M,NA,NA,126,126,115,42,245,0,N,402,402,Y,Y,Y,
85,3,13-06-2018,D,2,,20,CSER,NA,F,87,51,233,245,184,97,2840,11,N,240,240,Y,Y,Y,
86,3,13-06-2018,D,3,,21,CPIC,picta,M,NA,NA,115,115,110,40,210,0,N,240,240,NA,Y,Y,
87,3,13-06-2018,D,3,,21,CPIC,marginata,M,NA,NA,72,72,60,30,70,0,N,220,220,Y,Y,Y,
88,4,13-06-2018,D,5,,23,CPIC,NA,M,NA,NA,125,129,111,40,230,0,N,270,270,Y,N,N,
89,4,13-06-2018,D,5,,23,SODO,NA,NA,NA,NA,113,114,88,44,245,26,N,22,22,Y,Y,Y,smears not working?
90,4,13-06-2018,D,7,,25,CPIC,NA,M,NA,NA,119,119,111,38,205,0,N,404,404,Y,N,N,
91,4,13-06-2018,D,7,,25,CPIC,NA,M,NA,NA,112,112,102,36,175,0,N,407,407,Y,N,N,
92,4,13-06-2018,D,7,,25,CPIC,marginata,F,NA,NA,119,119,110,40,215,0,N,111,111,Y,N,N,hole in marginal scutes 20 and 30
93,4,13-06-2018,D,7,,25,CPIC,marginata,M,NA,NA,146,146,133,47,340,2,N,112,112,Y,N,N,
94,4,13-06-2018,D,7,,25,CPIC,marginata,M,NA,NA,141,142,126,44,325,0,N,114,114,Y,N,N,
95,4,13-06-2018,D,7,,25,CPIC,marginata,F,NA,NA,153,153,149,55,465,5,N,124,124,Y,N,N,
96,4,13-06-2018,C,4,,12,CPIC,marginata,F,NA,NA,131,131,123,46,330,5,N,410,410,Y,N,N,
97,4,13-06-2018,C,9,,17,CSER,NA,M,96,130,307,316,230,135,6770,4,R,70,70,N,N,N,
98,4,14-06-2018,D,2,,20,SODO,NA,F,NA,NA,98,99,76,39,165,20,N,410,410,Y,Y,Y,
99,4,14-06-2018,D,6,,24,CSER,NA,M,122,116,358,373,261,136,10840,30,N,440,440,Y,N,Y,
100,4,14-06-2018,D,7,,25,CPIC,marginata,U,NA,NA,69,69,63,28,50,0,N,210,210,Y,N,N,damage to 1000
101,4,14-06-2018,D,7,,25,CPIC,picta,U,NA,NA,71,71,65,29,50,0,N,470,470,Y,N,N,
102,4,14-06-2018,D,7,,25,CPIC,marginata,F,NA,NA,150,150,142,54,440,4,N,242,242,Y,Y,Y,
103,4,14-06-2018,C,10,,18,CPIC,marginata,M,NA,NA,114,114,105,40,190,1,N,260,260,Y,Y,Y,tail damage and front 2 claws gone
104,4,14-06-2018,C,10,,18,CPIC,picta,M,NA,NA,117,117,110,39,190,1,N,440,440,Y,Y,Y,right front claw gone
105,4,14-06-2018,C,10,,18,CPIC,marginata,F,NA,NA,157,157,146,59,490,4,N,460,460,Y,Y,Y,
106,4,14-06-2018,C,4,,12,CPIC,picta,M,NA,NA,132,133,120,41,250,1,N,130,130,Y,Y,Y,tail damage at tip
107,4,14-06-2018,C,3,,11,CSER,NA,F,55,38,161,167,122,82,1220,3,N,140,140,Y,Y,Y,
108,4,15-06-2018,D,7,,25,CPIC,marginata,M,NA,NA,75,75,68,29,60,0,N,241,241,Y,Y,Y,damage to 400
109,4,15-06-2018,D,7,,25,CPIC,marginata,M,NA,NA,115,115,108,39,195,0,N,244,244,Y,Y,Y,
110,4,15-06-2018,D,7,,25,CPIC,marginata,M,NA,NA,134,138,126,44,285,0,N,222,222,Y,Y,Y,
111,4,15-06-2018,D,4,,22,CPIC,marginata,M,NA,NA,136,137,125,45,320,1,N,224,224,Y,Y,Y,left claw gone
112,4,15-06-2018,D,3,,21,CPIC,picta,M,NA,NA,129,129,118,40,235,1,N,444,444,Y,Y,Y,
113,4,15-06-2018,D,3,,21,CPIC,marginata,M,NA,NA,143,143,133,42,300,0,N,144,144,Y,Y,Y,
114,4,15-06-2018,D,3,,21,CSER,NA,F,85,55,233,246,182,99,2590,2,R,240,240,Y,N,N,Got out near trap 10
115,4,15-06-2018,C,2,,10,CSER,NA,M,97,89,276,287,205,114,4890,3,N,60,60,Y,Y,Y,not much blood taken
116,4,15-06-2018,C,6,,14,GINS,NA,M,NA,NA,209,215,180,71,1330,1,N,10,10,Y,Y,Y,depression in plastron; end of tail damaged
117,5,15-06-2018,C,7,,15,CSER,NA,F,81,51,227,236,171,100,2650,16,N,210,210,N,N,Y,
118,5,15-06-2018,C,7,,15,CPIC,marginata,F,NA,NA,167,167,157,54,530,0,N,442,442,N,Y,Y,hole in marginal scute 20
119,5,15-06-2018,C,8,,16,CSER,NA,F,39,28,110,113,79,41,265,30,N,420,420,Y,Y,Y,small
120,5,15-06-2018,C,10,,18,CPIC,marginata,M,NA,NA,127,129,120,42,260,1,N,430,430,N,Y,Y,left front claws gone; tail damage
121,5,15-06-2018,C,10,,18,CPIC,marginata,M,NA,NA,142,143,125,47,310,1,N,420,420,N,Y,Y,
122,5,15-06-2018,C,10,,18,CPIC,marginata,M,NA,NA,125,125,117,41,225,2,R,63,63,N,Y,Y,
123,5,15-06-2018,C,10,,18,CPIC,picta,F,NA,NA,144,144,140,50,370,2,N,320,320,N,Y,Y,
124,5,15-06-2018,C,10,,18,CPIC,marginata,M,NA,NA,133,135,127,40,260,1,R,60,60,N,Y,Y,
125,5,16-06-2018,D,2,,20,CPIC,marginata,F,NA,NA,145,145,136,48,355,5,N,142,142,Y,Y,Y,small notch made between marginal scutes 1 and 2
126,5,16-06-2018,D,3,,21,CPIC,marginata,F,NA,NA,157,158,147,51,435,2,N,141,141,Y,Y,Y,plastron blotches around edges; blood coagulated on slide?
127,5,16-06-2018,D,7,,25,CPIC,marginata,M,NA,NA,135,137,126,43,275,7,R,222,222,N,N,N,
128,5,16-06-2018,D,7,,25,CPIC,marginata,M,NA,NA,124,128,111,41,225,1,R,240,240,N,N,N,
129,5,19-06-2018,E,14,,40,CSER,NA,F,95,65,260,272,197,114,4200,2,N,410,410,Y,Y,Y,
130,5,19-06-2018,E,14,,40,CSER,NA,F,55,18,135,138,101,62,530,15,N,470,470,Y,Y,Y,small
131,5,19-06-2018,E,14,,40,CSER,NA,M,79,69,218,227,172,101,2560,8,N,260,260,Y,N,Y,slides not that good
132,5,19-06-2018,E,12,,38,CPIC,picta,M,NA,NA,137,138,127,45,290,1,N,350,350,Y,N,N,
133,5,19-06-2018,E,12,,38,CPIC,picta,M,NA,NA,133,135,122,43,280,0,N,344,344,Y,N,N,damage to lower plastron
134,5,19-06-2018,E,12,,38,CPIC,picta,M,NA,NA,136,137,126,42,280,0,N,342,342,Y,N,N,
135,5,19-06-2018,E,12,,38,SODO,NA,M,NA,NA,119,120,78,42,210,12,N,12,12,Y,N,N,
136,5,19-06-2018,E,12,,38,SODO,NA,F,NA,NA,111,112,86,45,220,9,N,14,14,Y,N,N,
137,5,19-06-2018,E,12,,38,SODO,NA,F,NA,NA,107,108,81,44,200,10,N,102,102,Y,N,N,
138,5,19-06-2018,E,12,,38,PRUB,NA,M,NA,NA,250,251,228,86,1670,1,N,10,10,Y,N,N,
139,5,19-06-2018,E,11,,37,SODO,NA,F,NA,NA,110,111,82,46,210,5,N,104,104,Y,,,
140,5,19-06-2018,E,11,,37,CSER,NA,F,97,46,272,285,202,119,5220,6,N,340,340,Y,,,
141,5,19-06-2018,E,10,,36,CPIC,marginata,F,NA,NA,154,155,140,53,430,1,N,103,103,Y,N,N,tail and mouth damage
142,5,19-06-2018,E,10,,36,CPIC,marginata,F,NA,NA,152,152,142,58,460,6,N,113,113,Y,N,N,shell damage
143,5,19-06-2018,E,10,,36,CPIC,marginata,M,NA,NA,135,137,123,46,260,1,N,122,122,Y,N,N,plastron blotch faint
144,5,19-06-2018,E,10,,36,CSER,NA,F,86,58,261,270,200,110,3890,15,N,430,430,Y,N,N,
145,5,19-06-2018,E,10,,36,CSER,NA,M,107,141,341,354,261,143,10350,1,N,230,230,Y,,,scar on tail
146,6,19-06-2018,E,9,,35,PRUB,NA,M,NA,NA,255,259,234,86,1940,6,N,20,20,Y,N,N,
147,6,19-06-2018,E,9,,35,CPIC,marginata,F,NA,NA,146,148,136,60,430,4,N,115,115,Y,N,N,
148,6,19-06-2018,E,9,,35,CPIC,marginata,M,NA,NA,119,122,110,42,210,2,N,105,105,Y,N,N,
149,6,19-06-2018,E,9,,35,CPIC,marginata,F,NA,NA,162,164,152,62,540,3,N,160,160,Y,N,N,
150,6,19-06-2018,E,9,,35,CPIC,marginata,F,NA,NA,144,146,138,57,420,2,N,150,150,Y,N,N,
151,6,19-06-2018,E,9,,35,CPIC,picta,F,NA,NA,124,126,115,37,220,5,N,212,212,N,N,N,
152,6,19-06-2018,E,9,,35,CPIC,marginata,F,NA,NA,150,152,144,54,420,9,N,214,214,Y,N,N,
153,6,19-06-2018,E,9,,35,CSER,NA,F,96,73,280,287,216,124,5540,13,N,460,460,Y,N,N,
154,6,19-06-2018,E,8,,34,CPIC,marginata,F,NA,NA,130,137,120,45,290,3,N,411,411,Y,N,N,
155,6,19-06-2018,E,8,,34,CPIC,marginata,F,NA,NA,148,148,140,51,400,9,N,412,412,Y,N,N,plastron blotch faint; shell dent
156,6,19-06-2018,E,8,,34,SODO,NA,M,NA,NA,94,94,74,38,150,11,N,111,111,Y,N,N,
157,6,19-06-2018,E,8,,34,SODO,NA,M,NA,NA,90,90,62,34,145,10,N,112,112,Y,N,N,
158,6,19-06-2018,E,8,,34,CSER,NA,M,132,118,337,353,277,134,10250,5,N,310,310,NA,N,N,
159,6,19-06-2018,E,5,,31,CPIC,marginata,F,NA,NA,172,172,158,62,625,5,N,414,414,Y,N,N,
160,6,19-06-2018,E,5,,31,CPIC,marginata,M,NA,NA,129,130,119,42,260,7,N,250,250,Y,N,N,
161,6,19-06-2018,E,5,,31,SODO,NA,F,NA,NA,102,102,78,43,190,8,N,21,21,Y,N,N,
162,6,19-06-2018,E,5,,31,CPIC,marginata,F,NA,NA,147,148,138,52,385,4,N,403,403,Y,N,N,
163,6,19-06-2018,E,4,,30,CSER,NA,F,104,62,305,315,233,125,6190,20,N,150,150,Y,N,N,
164,6,19-06-2018,E,4,,30,CSER,NA,F,71,48,196,203,148,89,1860,25,N,450,450,Y,N,N,
165,6,19-06-2018,E,4,,30,CPIC,marginata,F,NA,NA,156,156,147,61,510,8,N,321,321,Y,N,N,scutes don't line up on carapace
166,6,19-06-2018,E,4,,30,CPIC,picta,F,NA,NA,146,146,139,53,385,5,N,221,221,Y,N,N,
167,6,19-06-2018,E,4,,30,CPIC,NA,M,NA,NA,134,135,127,46,310,0,N,421,421,Y,N,N,
168,6,19-06-2018,E,4,,30,CPIC,marginata,M,NA,NA,125,126,116,42,260,1,N,211,211,Y,N,N,
169,6,19-06-2018,E,4,,30,SODO,NA,F,NA,NA,100,100,77,43,180,30,N,420,420,Y,N,N,
170,6,19-06-2018,E,3,,29,CSER,NA,F,111,58,303,310,237,134,7020,3,N,510,510,N,N,N,tail damage
171,6,19-06-2018,E,3,,29,SODO,NA,F,NA,NA,107,107,81,45,200,7,N,300,300,N,N,N,
172,6,19-06-2018,E,3,,29,SODO,NA,F,NA,NA,96,96,77,42,155,4,N,430,430,N,N,N,
173,6,19-06-2018,E,3,,29,SODO,NA,F,NA,NA,114,115,89,48,240,40,N,440,440,N,N,N,
174,6,19-06-2018,E,3,,29,SODO,NA,F,NA,NA,95,95,75,45,120,20,N,310,310,N,N,N,triangle marks
175,7,19-06-2018,E,3,,29,SODO,NA,F,NA,NA,123,123,84,46,250,20,N,211,211,N,N,N,triangle marks
176,7,19-06-2018,E,3,,29,SODO,NA,M,NA,NA,97,98,68,45,110,10,N,320,320,N,N,N,triangle marks
177,7,19-06-2018,E,3,,29,CPIC,NA,M,NA,NA,139,140,127,46,315,4,N,247,247,N,N,N,
178,7,19-06-2018,E,2,,28,CPIC,marginata,M,NA,NA,118,118,107,42,170,8,N,441,441,N,N,N,
179,7,20-06-2018,E,13,,39,SODO,NA,F,NA,NA,113,113,91,49,250,7,N,204,204,Y,Y,N,
180,7,20-06-2018,E,12,,38,CPIC,NA,F,NA,NA,147,147,140,54,380,1,R,221,221,Y,Y,N,tail damage
181,7,20-06-2018,E,12,,38,CPIC,marginata,F,NA,NA,146,146,136,55,395,2,N,424,424,Y,N,N,
182,7,20-06-2018,E,12,,38,PRUB,NA,M,NA,NA,255,258,232,90,1850,1,R,20,20,Y,Y,N,
183,7,20-06-2018,E,12,,38,PRUB,NA,M,NA,NA,244,248,228,88,1650,5,N,40,40,Y,N,N,
184,7,20-06-2018,E,12,,38,SODO,NA,F,NA,NA,101,101,83,40,185,16,N,340,340,Y,N,N,
185,7,20-06-2018,E,11,,37,CPIC,NA,U,NA,NA,75,75,66,30,65,3,N,190,190,Y,N,N,"nails not long, juvenile"
186,7,20-06-2018,E,10,,36,SODO,NA,M,NA,NA,95,95,68,39,80,45,N,450,450,Y,Y,N,
187,7,20-06-2018,E,8,,34,SODO,NA,F,NA,NA,108,109,86,45,215,25,N,402,402,Y,Y,N,trap # wrong in picture
188,7,20-06-2018,E,7,,33,PRUB,NA,F,NA,NA,289,294,280,119,3340,1,N,100,100,Y,Y,N,
189,7,20-06-2018,E,6,,32,CSER,NA,F,93,52,261,270,198,112,3890,11,R,430,430,N,N,N,
190,7,20-06-2018,E,6,,32,CPIC,marginata,F,NA,NA,160,160,147,57,495,3,N,82,82,Y,N,N,damage to 1000
191,7,20-06-2018,E,6,,32,CPIC,marginata,F,NA,NA,142,142,136,50,345,NA,N,84,84,Y,N,N,
192,7,20-06-2018,E,5,,31,CPIC,marginata,M,NA,NA,133,134,122,43,270,1,R,342,342,N,N,N,plastron blotch faint
193,7,20-06-2018,E,5,,31,CPIC,marginata,U,NA,NA,78,78,72,32,70,1,N,91,91,N,N,N,
194,7,20-06-2018,E,5,,31,SODO,NA,M,NA,NA,98,98,68,37,145,20,N,222,222,N,N,N,
195,7,21-06-2018,E,14,,40,CPIC,marginata,F,NA,NA,150,150,139,57,390,1,N,85,85,Y,N,N,carapace seams line up; change tube label
196,7,21-06-2018,E,13,,39,CPIC,marginata,M,NA,NA,135,136,128,47,320,1,R,421,421,Y,Y,Y,
197,7,21-06-2018,E,13,,39,SODO,NA,M,NA,NA,108,110,75,43,200,7,N,90,90,Y,Y,Y,nose damage
198,7,21-06-2018,E,12,,38,CPIC,marginata,F,NA,NA,147,147,139,58,440,1,R,150,150,Y,Y,Y,
199,7,21-06-2018,E,12,,38,CPIC,picta,M,NA,NA,124,126,121,42,250,0,N,87,87,Y,N,N,hook in mouth; damage to 100; put back near trap 14
200,7,21-06-2018,E,12,,38,PRUB,NA,U,NA,NA,93,93,87,38,130,2,N,1,1,Y,N,N,immature; nails not long; tail base short
201,7,21-06-2018,E,11,,37,CPIC,marginata,M,NA,NA,141,142,129,48,320,0,R,247,247,N,Y,Y,
202,7,21-06-2018,E,11,,37,CPIC,marginata,F,NA,NA,165,165,153,60,560,3,N,117,117,Y,N,N,nose damage
203,7,21-06-2018,E,9,,35,CPIC,picta,M,NA,NA,128,128,115,44,290,0,N,127,127,Y,N,N,metalic looking plastron
204,8,21-06-2018,E,5,,31,CPIC,picta,M,NA,NA,116,116,105,40,215,8,N,123,123,Y,N,N,
205,8,21-06-2018,E,5,,31,CPIC,marginata,F,NA,NA,136,136,129,58,400,1,N,125,125,Y,N,N,
206,8,21-06-2018,E,3,,31,CPIC,picta,F,NA,NA,140,140,127,51,350,3,N,94,94,Y,N,N,divet in left abdominal scute
207,8,21-06-2018,E,3,,31,CPIC,marginata,F,NA,NA,136,136,126,50,320,NA,N,97,97,Y,N,N,
208,8,22-06-2018,E,13,,39,CPIC,marginata,F,NA,NA,146,146,134,56,410,0,N,146,146,Y,N,N,dark plastron
209,8,22-06-2018,E,13,,39,SODO,NA,F,NA,NA,105,105,82,44,190,50,N,34,34,N,N,N,
210,8,22-06-2018,E,12,,38,CPIC,marginata,F,NA,NA,154,154,144,59,495,1,N,1000,1000,N,N,N,damage to 200 and 400
211,8,22-06-2018,E,4,,30,CPIC,marginata,U,NA,NA,80,80,73,32,80,1,N,2000,2000,N,N,N,juvenile
212,8,22-06-2018,E,3,,29,CPIC,marginata,F,NA,NA,155,155,146,56,460,0,R,103,103,N,N,N,tail damage
213,8,22-06-2018,E,3,,29,SODO,NA,F,NA,NA,95,95,73,43,150,13,N,404,404,N,N,N,
